"tienda","categoria","nombre","precio","fecha"
"Fidalga","abarrotes","Pan Frances por Unidad","Bs1,00",2025-06-12
"Fidalga","abarrotes","Aji Panca Picante Sibarita de 85 gr","Bs0,60",2025-06-12
"Fidalga","abarrotes","Gelatina Cereza Yeli 110 g","Bs2,30",2025-06-12
"Fidalga","abarrotes","Gelatina de Naranja Yeli 110 g","Bs2,40",2025-06-12
"Fidalga","abarrotes","Gelatina de PiÃ±a Yeli de 110 gr","Bs2,50",2025-06-12
"Fidalga","abarrotes","Gelatina de Frambuesa Yeli de 110 gr","Bs2,50",2025-06-12
"Fidalga","abarrotes","Gelatina de Frutilla Yeli de 120 gr","Bs2,50",2025-06-12
"Fidalga","abarrotes","Te con Canela Miki de 20 Uni","Bs2,80",2025-06-12
"Fidalga","abarrotes","Sal Yodada y Fluorada de 1000 gr","Bs4,60",2025-06-12
"Fidalga","abarrotes","Ketchup Kris de 60 gr","Bs5,00",2025-06-12
"Fidalga","abarrotes","Mayonesa Original Kris de 60 gr","Bs5,00",2025-06-12
"Fidalga","abarrotes","Te con Canela Ceylan de 20 Uni","Bs5,20",2025-06-12
"Fidalga","abarrotes","Te de Canela y Clavo de Olor Ceylan de 20 Uni","Bs5,60",2025-06-12
"Fidalga","abarrotes","Te Clasico Windsor de 20 Uni","Bs5,80",2025-06-12
"Fidalga","abarrotes","Picadillo de Carne Safra 90 g","Bs5,80",2025-06-12
"Fidalga","abarrotes","Flan sabor Vainilla Kris de 60 gr","Bs6,00",2025-06-12
"Fidalga","abarrotes","Flan de vainilla Miki 120 g","Bs6,00",2025-06-12
"Fidalga","abarrotes","Sopa Instantanea saboor Costilla Nissin Ramen de 85 gr","Bs6,00",2025-06-12
"Fidalga","abarrotes","Sopa Instantanea de Pollo y Verdura Ajinomen 80 g","Bs6,20",2025-06-12
"Fidalga","abarrotes","Sopa Instantanea sabor Costilla de Res AjÃ­-No-Men 80 g","Bs6,20",2025-06-12
"Fidalga","bebidas","Pan Frances por Unidad","Bs1,00",2025-06-12
"Fidalga","bebidas","Jugo de Manzana Ades 1 l","Bs13,00",2025-06-12
"Fidalga","bebidas","Fernet Branca 750 ml","Bs102,00",2025-06-12
"Fidalga","bebidas","Cerveza Zero Grau Conti de 269 ml","Bs5,60",2025-06-12
"Fidalga","bebidas","Gaseosa Coca-Cola 3 L","Bs18,00",2025-06-12
"Fidalga","bebidas","Nectar de Manzana Frutts Pura Vida de 2000 ml","Bs15,00",2025-06-12
"Fidalga","bebidas","Gaseosa Sprite 2 L","Bs13,70",2025-06-12
"Fidalga","bebidas","Aquarius Pera 3000 ml","Bs17,50",2025-06-12
"Fidalga","bebidas","Cerveza PaceÃ±a Lata 269 ml","Bs6,50",2025-06-12
"Fidalga","bebidas","Nectar de Durazno Del Valle 1 l","Bs12,00",2025-06-12
"Fidalga","bebidas","Gaseosa Coca-Cola 2 L","Bs13,70",2025-06-12
"Fidalga","bebidas","Gaseosa Antarctica Guarana 500 ml","Bs4,00",2025-06-12
"Fidalga","bebidas","Gaseosa Fanta Guarana de 500 ml","Bs5,20",2025-06-12
"Fidalga","bebidas","Limonada con Gas La CabaÃ±a de 2000 ml","Bs12,00",2025-06-12
"Fidalga","bebidas","Energizante Monster Energy de 473 ml 24 Uni","Bs26,00",2025-06-12
"Fidalga","bebidas","Nectar de Tumbo Frutts Pura Vida 2000 ml","Bs14,00",2025-06-12
"Fidalga","bebidas","Gaseosa Mendocina Papaya 3000 ml","Bs13,00",2025-06-12
"Fidalga","bebidas","Agua sin Gas Vital de 6000 ml","Bs21,00",2025-06-12
"Fidalga","bebidas","Gaseosa Pepsi de 3000 ml","Bs13,00",2025-06-12
"Fidalga","bebidas","Gaseosa sabor Uva Fanta 2000 ml","Bs10,50",2025-06-12
"Fidalga","bebidas","Gaseosa Fanta Papaya de 500 ml","Bs5,20",2025-06-12
"Fidalga","bebidas","Gaseosa Coca Cola sin AzÃºcar de 2 L","Bs11,50",2025-06-12
"Fidalga","bebidas","Cerveza Pilsener PaceÃ±a de 235 ml","Bs5,80",2025-06-12
"Fidalga","bebidas","Amarula Crema y Amarula 750 ml","Bs188,00",2025-06-12
"Fidalga","bebidas","Rehidratante de Fresa Sante Sport 500 ml","Bs7,00",2025-06-12
"Fidalga","fiambres","Pan Frances por Unidad","Bs1,00",2025-06-12
"Fidalga","fiambres","Mortadela Primavera en Barra Sofia de 500 gr","Bs24,00",2025-06-12
"Fidalga","fiambres","Silpancho de Res en Caja Sofia","Bs57,00",2025-06-12
"Fidalga","fiambres","Milaneza de Pollo Sofia de 4 Uni","Bs29,50",2025-06-12
"Fidalga","fiambres","Pollo Relleno Sofia en Caja","Bs78,00",2025-06-12
"Fidalga","fiambres","Jamon Sandwichero Sofia de 250 gr","Bs20,60",2025-06-12
"Fidalga","fiambres","Nuggets Dinos Sofia de 500 gr","Bs36,00",2025-06-12
"Fidalga","fiambres","Pate Higado de Pollo Sofia 100 g","Bs8,50",2025-06-12
"Fidalga","fiambres","Pate Higado de Cerdo Sofia de 100 gr","Bs8,50",2025-06-12
"Fidalga","fiambres","Pate Higado de Pollo Sofia de 200 gr","Bs14,50",2025-06-12
"Fidalga","fiambres","Pate de Higado de Cerdo Sofia de 240 gr","Bs14,70",2025-06-12
"Fidalga","fiambres","Carbon La Guardia de 4000 gr","Bs17,50",2025-06-12
"Fidalga","fiambres","Enciende Brasa La Guardia","Bs5,90",2025-06-12
"Fidalga","lacteos","Pan Frances por Unidad","Bs1,00",2025-06-12
"Fidalga","lacteos","Leche Fresca Natural Pil UHT 900 ml","Bs7,80",2025-06-12
"Fidalga","lacteos","Mantequilla con Sal Pil 200 g","Bs21,00",2025-06-12
"Fidalga","lacteos","Pilfrut Manzana 200 ml","Bs1,50",2025-06-12
"Fidalga","lacteos","Margarina Regia de 850 gr","Bs34,90",2025-06-12
"Fidalga","lacteos","Yogurt Durazno Delizia 2000 ml","Bs26,00",2025-06-12
"Fidalga","lacteos","Leche Soy Chocolate Pil 946 ml","Bs7,00",2025-06-12
"Fidalga","lacteos","Refresco Pilfrut PiÃ±a 200 ml","Bs1,50",2025-06-12
"Fidalga","lacteos","Pilfrut Durazno 200 ml","Bs1,50",2025-06-12
"Fidalga","lacteos","Dulce de Leche Granja de Oro 250 g","Bs10,50",2025-06-12
"Fidalga","lacteos","Mantequilla con Sal Pil 100 g","Bs10,50",2025-06-12
"Fidalga","lacteos","Leche Light Deslactosada Pil 800 ml","Bs21,00",2025-06-12
"Fidalga","lacteos","Mantequilla Sin Sal Pil 200 gr","Bs2,30",2025-06-12
"Fidalga","lacteos","Leche Deslactosada Larga Vida Pil 800 ml","Bs21,90",2025-06-12
"Fidalga","lacteos","Yogurt Batidito Frutado Pil 90 g","Bs7,00",2025-06-12
"Fidalga","lacteos","Margarina Regia 410 g","Bs15,00",2025-06-12
"Fidalga","lacteos","Leche de Soya Frutilla Soy 946 ml","Bs16,50",2025-06-12
"Fidalga","lacteos","Yogurt Pil Frutilla Botella 1 L","Bs62,50",2025-06-12
"Fidalga","lacteos","Yogurt Frutilla Bolsa Pil 1 l","Bs4,20",2025-06-12
"Fidalga","lacteos","Leche Instantanea Pil de 760 gr","Bs1,60",2025-06-12
"Fidalga","lacteos","Refresco Pilfrut Manzana 800 ml","Bs7,50",2025-06-12
"Fidalga","lacteos","Leche Chocolatada Chicolac 140 ml","Bs8,60",2025-06-12
"Fidalga","lacteos","Leche Natural Larga Vida Purita de 950 ml","Bs17,00",2025-06-12
"Fidalga","panaderia","Pan Frances por Unidad","Bs1,00",2025-06-12
"Fidalga","panaderia","Harina Famosa de 1000 gr","Bs13,50",2025-06-12
"Fidalga","panaderia","Polvo de Hornear Royal Kris de 57 gr","Bs4,00",2025-06-12
"Fidalga","panaderia","CuÃ±ape Abizcochado San Javier de 200 gr","Bs18,80",2025-06-12
"Fidalga","panaderia","Pan Molde con Chia Bread King de 500 gr","Bs11,30",2025-06-12
"Fidalga","panaderia","Pan Molde Victoria 580 g","Bs13,50",2025-06-12
"Fidalga","panaderia","Pan Molde Blanco 3 Hermanos","Bs7,80",2025-06-12
"Fidalga","panaderia","Empanadas Morenas Pan Aleman de 4 Uni","Bs8,80",2025-06-12
"Fidalga","panaderia","Palitos Salados con Queso Bread King 120 g","Bs10,50",2025-06-12
"Fidalga","panaderia","Pan de Leche Chico Victoria de 140 gr","Bs4,30",2025-06-12
"Fidalga","panaderia","Azucar Impalpable El Reposterito 200 g","Bs6,50",2025-06-12
"Fidalga","panaderia","Harina Princesa de 1000 gr","Bs9,30",2025-06-12
"Fidalga","panaderia","CuÃ±ape Surtidos Bread King de 25 Uni","Bs12,50",2025-06-12
"Fidalga","panaderia","Palitos Integrales Bread King","Bs10,50",2025-06-12
"Fidalga","panaderia","Pan Molde Integal Jenecheru 700 g","Bs11,20",2025-06-12
"Fidalga","panaderia","Pan Molde Integral Bimbo de 350 gr","Bs12,00",2025-06-12
"Fidalga","panaderia","Levadura Fleishmann de 20 gr","Bs3,00",2025-06-12
"Fidalga","panaderia","Pan Molde Negro Grande Victoria de 630 gr","Bs15,50",2025-06-12
"Fidalga","panaderia","Pan Hamburguesa 1/4 Libra Jenecheru","Bs11,70",2025-06-12
"Fidalga","panaderia","Pan Molde Negro Grande Fidalga","Bs12,80",2025-06-12
"Fidalga","panaderia","Pan Molde Blanco Grande Fidalga","Bs9,50",2025-06-12
"Fidalga","panaderia","Harina Trigo Famosa 0000 1 kg","Bs15,50",2025-06-12
"Fidalga","panaderia","Empanadas Integrales con Queso Bread King de 5 Uni","Bs11,50",2025-06-12
"Fidalga","panaderia","Palitos Integrales con Queso Jenecheru","Bs11,00",2025-06-12
"Fidalga","cuidado_hogar","Pan Frances por Unidad","Bs1,00",2025-06-12
"Fidalga","cuidado_hogar","Detergente Ola Futuro 5 l","Bs107,90",2025-06-12
"Fidalga","cuidado_hogar","Servilleta de Papel Perlita 500 unidades","Bs15,40",2025-06-12
"Fidalga","cuidado_hogar","Antisarro Ola Maximus de 550 ml","Bs22,00",2025-06-12
"Fidalga","cuidado_hogar","Desinfectante Floral Ola Aromatic de 1800 ml","Bs31,00",2025-06-12
"Fidalga","cuidado_hogar","Servilleta de Papel Scott de 50 u","Bs2,50",2025-06-12
"Fidalga","cuidado_hogar","Detergente en Polvo Hortencia Surf de 800 gr","Bs15,00",2025-06-12
"Fidalga","cuidado_hogar","Antigrasa Ola Maximus de 890 ml","Bs22,70",2025-06-12
"Fidalga","cuidado_hogar","PaÃ±o Reutilizable Scott Duramax 3 u","Bs62,00",2025-06-12
"Fidalga","cuidado_hogar","Jabon Blanco Brillante Uno de 220 gr","Bs7,20",2025-06-12
"Fidalga","cuidado_hogar","Esponjas Multiuso Bristar de 4 Uni","Bs7,50",2025-06-12
"Fidalga","cuidado_hogar","Saca Grasa Sapolio de 500 ml","Bs8,00",2025-06-12
"Fidalga","cuidado_hogar","Esponja de Acero Bombril de 8 Uni 60 gr","Bs6,00",2025-06-12
"Fidalga","cuidado_hogar","Insecticida Mata Moscas y Mosquitos Baygon Azul de 300 ml","Bs20,00",2025-06-12
"Fidalga","cuidado_hogar","PaÃ±uelo Desechable Mentolado Elite de 6 Uni","Bs9,50",2025-06-12
"Fidalga","cuidado_hogar","Limpia BaÃ±os Ola Maximus de 890 ml","Bs26,60",2025-06-12
"Fidalga","cuidado_hogar","Patito Detergente Limon 150 g","Bs3,50",2025-06-12
"Fidalga","cuidado_hogar","Limpia Vidrio Todo Brillo de 900 ml","Bs10,50",2025-06-12
"Fidalga","cuidado_hogar","Detergente Patito Limon de 640 gr","Bs13,90",2025-06-12
"Fidalga","cuidado_hogar","Papel Toalla Clasica Megarrollo Nova de 1 Uni","Bs16,30",2025-06-12
"Fidalga","cuidado_hogar","Jabon Blanco Extremo Bolivar de 210 gr","Bs8,00",2025-06-12
"Fidalga","cuidado_hogar","Detergente en Polvo Omo Matic de 2000 gr","Bs48,50",2025-06-12
"Fidalga","cuidado_hogar","Detergente en Polvo Perfecto Resultados Skip de 2000 gr","Bs64,80",2025-06-12
"Fidalga","cuidado_hogar","Tabletas para Mosquitos Tyson de 12 Uni","Bs18,00",2025-06-12
"Fidalga","cuidado_hogar","Insecticida Mata Todo Tyson de 500 ml","Bs20,00",2025-06-12
"Fidalga","cuidado_personal","Pan Frances por Unidad","Bs1,00",2025-06-12
"Fidalga","cuidado_personal","Papel Higienico Scott Doble Hoja 12 u","Bs36,40",2025-06-12
"Fidalga","cuidado_personal","Pasta Dental Colgate Triple Accion 180 g","Bs24,70",2025-06-12
"Fidalga","cuidado_personal","Papel Higienico Doble Hoja Scott de 6 Uni","Bs18,20",2025-06-12
"Fidalga","cuidado_personal","Pasta Dental Xtra Whitening Pepsodent 130 gr","Bs13,00",2025-06-12
"Fidalga","cuidado_personal","Toallas Femeninas Invisible Nosotras de 10 Uni","Bs20,10",2025-06-12
"Fidalga","cuidado_personal","Papel Higienico Doble Hoja Esencias Scott de 4 Uni","Bs17,70",2025-06-12
"Fidalga","cuidado_personal","Papel Higienico Clasico Nacional de 12 Uni","Bs35,60",2025-06-12
"Fidalga","cuidado_personal","Papel Higienico Classic Celeste Nacional de 24 Uni","Bs63,70",2025-06-12
"Fidalga","cuidado_personal","Papel Higienico Premier Soft de 12 Uni","Bs24,80",2025-06-12
"Fidalga","cuidado_personal","Toallas Femenina Antibacterial Invisible Rapigel Nosotras de 10 Uni","Bs20,10",2025-06-12
